Simulación 1: won, Tiempo: 0.008383989334106445 segundos
Simulación 2: won, Tiempo: 0.0043849945068359375 segundos
Simulación 3: lost, Tiempo: 0.0018110275268554688 segundos
Simulación 4: won, Tiempo: 0.0032129287719726562 segundos
Simulación 5: won, Tiempo: 0.006009578704833984 segundos
Simulación 6: lost, Tiempo: 0.00015926361083984375 segundos
Simulación 7: won, Tiempo: 0.0045413970947265625 segundos
Simulación 8: lost, Tiempo: 0.0050203800201416016 segundos
Simulación 9: lost, Tiempo: 0.0015785694122314453 segundos
Simulación 10: lost, Tiempo: 0.0016093254089355469 segundos
Simulación 11: won, Tiempo: 0.0055751800537109375 segundos
Simulación 12: won, Tiempo: 0.004320383071899414 segundos
Simulación 13: won, Tiempo: 0.003076314926147461 segundos
Simulación 14: lost, Tiempo: 0.0028150081634521484 segundos
Simulación 15: lost, Tiempo: 0.0001354217529296875 segundos
Simulación 16: lost, Tiempo: 0.00013566017150878906 segundos
Simulación 17: lost, Tiempo: 0.0024149417877197266 segundos
Simulación 18: lost, Tiempo: 0.0020220279693603516 segundos
Simulación 19: won, Tiempo: 0.0030803680419921875 segundos
Simulación 20: lost, Tiempo: 0.0015718936920166016 segundos
Simulación 21: lost, Tiempo: 0.0006780624389648438 segundos
Simulación 22: won, Tiempo: 0.0034935474395751953 segundos
Simulación 23: won, Tiempo: 0.004717588424682617 segundos
Simulación 24: lost, Tiempo: 0.0038750171661376953 segundos
Simulación 25: lost, Tiempo: 0.0008971691131591797 segundos
Simulación 26: lost, Tiempo: 0.0033609867095947266 segundos
Simulación 27: lost, Tiempo: 0.001352548599243164 segundos
Simulación 28: won, Tiempo: 0.0074825286865234375 segundos
Simulación 29: lost, Tiempo: 0.0009512901306152344 segundos
Simulación 30: won, Tiempo: 0.004433155059814453 segundos
Simulación 31: lost, Tiempo: 0.00023889541625976562 segundos
Simulación 32: won, Tiempo: 0.005685329437255859 segundos
Simulación 33: lost, Tiempo: 0.0002162456512451172 segundos
Simulación 34: won, Tiempo: 0.009961843490600586 segundos
Simulación 35: won, Tiempo: 0.010943174362182617 segundos
Simulación 36: lost, Tiempo: 0.0013284683227539062 segundos
Simulación 37: won, Tiempo: 0.005438804626464844 segundos
Simulación 38: won, Tiempo: 0.0051534175872802734 segundos
Simulación 39: lost, Tiempo: 0.002475738525390625 segundos
Simulación 40: lost, Tiempo: 0.0008285045623779297 segundos
Simulación 41: lost, Tiempo: 0.0016710758209228516 segundos
Simulación 42: won, Tiempo: 0.00479578971862793 segundos
Simulación 43: won, Tiempo: 0.0049037933349609375 segundos
Simulación 44: lost, Tiempo: 0.00098419189453125 segundos
Simulación 45: won, Tiempo: 0.0047953128814697266 segundos
Simulación 46: won, Tiempo: 0.007278919219970703 segundos
Simulación 47: won, Tiempo: 0.0036725997924804688 segundos
Simulación 48: won, Tiempo: 0.0017592906951904297 segundos
Simulación 49: won, Tiempo: 0.003777027130126953 segundos
Simulación 50: lost, Tiempo: 0.0020225048065185547 segundos
Simulación 51: won, Tiempo: 0.0041577816009521484 segundos
Simulación 52: won, Tiempo: 0.004853010177612305 segundos
Simulación 53: won, Tiempo: 0.004053354263305664 segundos
Simulación 54: won, Tiempo: 0.0033655166625976562 segundos
Simulación 55: lost, Tiempo: 0.0016176700592041016 segundos
Simulación 56: lost, Tiempo: 0.0006709098815917969 segundos
Simulación 57: won, Tiempo: 0.008156776428222656 segundos
Simulación 58: won, Tiempo: 0.0029702186584472656 segundos
Simulación 59: lost, Tiempo: 0.0062711238861083984 segundos
Simulación 60: won, Tiempo: 0.00442051887512207 segundos
Simulación 61: won, Tiempo: 0.005518674850463867 segundos
Simulación 62: lost, Tiempo: 0.0001266002655029297 segundos
Simulación 63: lost, Tiempo: 0.0008378028869628906 segundos
Simulación 64: won, Tiempo: 0.0032062530517578125 segundos
Simulación 65: won, Tiempo: 0.004740715026855469 segundos
Simulación 66: won, Tiempo: 0.003050565719604492 segundos
Simulación 67: lost, Tiempo: 0.0001399517059326172 segundos
Simulación 68: won, Tiempo: 0.009256839752197266 segundos
Simulación 69: lost, Tiempo: 0.003246784210205078 segundos
Simulación 70: won, Tiempo: 0.0031397342681884766 segundos
Simulación 71: won, Tiempo: 0.004638195037841797 segundos
Simulación 72: lost, Tiempo: 0.00113677978515625 segundos
Simulación 73: won, Tiempo: 0.0060765743255615234 segundos
Simulación 74: lost, Tiempo: 0.0011229515075683594 segundos
Simulación 75: lost, Tiempo: 0.0034532546997070312 segundos
Simulación 76: won, Tiempo: 0.0046422481536865234 segundos
Simulación 77: won, Tiempo: 0.0059070587158203125 segundos
Simulación 78: won, Tiempo: 0.003289461135864258 segundos
Simulación 79: lost, Tiempo: 0.0014009475708007812 segundos
Simulación 80: lost, Tiempo: 0.0013074874877929688 segundos
Simulación 81: lost, Tiempo: 0.0035953521728515625 segundos
Simulación 82: won, Tiempo: 0.004868745803833008 segundos
Simulación 83: lost, Tiempo: 0.0044443607330322266 segundos
Simulación 84: lost, Tiempo: 0.004911661148071289 segundos
Simulación 85: lost, Tiempo: 0.0012493133544921875 segundos
Simulación 86: lost, Tiempo: 0.004508495330810547 segundos
Simulación 87: won, Tiempo: 0.025072574615478516 segundos
Simulación 88: lost, Tiempo: 0.0067255496978759766 segundos
Simulación 89: won, Tiempo: 0.015265226364135742 segundos
Simulación 90: won, Tiempo: 0.024865150451660156 segundos
Simulación 91: lost, Tiempo: 0.0018584728240966797 segundos
Simulación 92: won, Tiempo: 0.00788259506225586 segundos
Simulación 93: lost, Tiempo: 0.0025916099548339844 segundos
Simulación 94: lost, Tiempo: 0.002320528030395508 segundos
Simulación 95: lost, Tiempo: 0.005151510238647461 segundos
Simulación 96: lost, Tiempo: 0.003861665725708008 segundos
Simulación 97: won, Tiempo: 0.008890628814697266 segundos
Simulación 98: won, Tiempo: 0.005440235137939453 segundos
Simulación 99: won, Tiempo: 0.012676000595092773 segundos
Simulación 100: won, Tiempo: 0.004930734634399414 segundos
