Simulation 1: won, Time: 0.003992319107055664 seconds
Simulation 2: lost, Time: 0.0032165050506591797 seconds
Simulation 3: lost, Time: 0.002181529998779297 seconds
Simulation 4: won, Time: 0.0030448436737060547 seconds
Simulation 5: lost, Time: 0.003273487091064453 seconds
Simulation 6: won, Time: 0.0029249191284179688 seconds
Simulation 7: lost, Time: 0.0001342296600341797 seconds
Simulation 8: lost, Time: 0.002026081085205078 seconds
Simulation 9: won, Time: 0.0029735565185546875 seconds
Simulation 10: won, Time: 0.004189491271972656 seconds
Simulation 11: lost, Time: 0.0021698474884033203 seconds
Simulation 12: won, Time: 0.0026865005493164062 seconds
Simulation 13: lost, Time: 0.0006036758422851562 seconds
Simulation 14: won, Time: 0.002888202667236328 seconds
Simulation 15: won, Time: 0.002696514129638672 seconds
Simulation 16: won, Time: 0.0051364898681640625 seconds
Simulation 17: won, Time: 0.005257844924926758 seconds
Simulation 18: won, Time: 0.0029380321502685547 seconds
Simulation 19: lost, Time: 0.00012254714965820312 seconds
Simulation 20: lost, Time: 0.0015914440155029297 seconds
Simulation 21: won, Time: 0.002706766128540039 seconds
Simulation 22: won, Time: 0.0042035579681396484 seconds
Simulation 23: lost, Time: 0.0010530948638916016 seconds
Simulation 24: won, Time: 0.0023488998413085938 seconds
Simulation 25: won, Time: 0.004673480987548828 seconds
Simulation 26: won, Time: 0.0042972564697265625 seconds
Simulation 27: lost, Time: 0.0001304149627685547 seconds
Simulation 28: lost, Time: 0.0018155574798583984 seconds
Simulation 29: won, Time: 0.002841472625732422 seconds
Simulation 30: won, Time: 0.003709554672241211 seconds
Simulation 31: won, Time: 0.004702091217041016 seconds
Simulation 32: won, Time: 0.0020220279693603516 seconds
Simulation 33: won, Time: 0.0016891956329345703 seconds
Simulation 34: won, Time: 0.002865314483642578 seconds
Simulation 35: won, Time: 0.0027861595153808594 seconds
Simulation 36: lost, Time: 0.001538991928100586 seconds
Simulation 37: won, Time: 0.0034775733947753906 seconds
Simulation 38: won, Time: 0.0027647018432617188 seconds
Simulation 39: won, Time: 0.0026929378509521484 seconds
Simulation 40: lost, Time: 0.001421213150024414 seconds
Simulation 41: won, Time: 0.0027251243591308594 seconds
Simulation 42: won, Time: 0.001928091049194336 seconds
Simulation 43: lost, Time: 0.0011734962463378906 seconds
Simulation 44: lost, Time: 0.0010952949523925781 seconds
Simulation 45: won, Time: 0.0032188892364501953 seconds
Simulation 46: won, Time: 0.003572225570678711 seconds
Simulation 47: won, Time: 0.0013234615325927734 seconds
Simulation 48: lost, Time: 0.0010824203491210938 seconds
Simulation 49: won, Time: 0.0020215511322021484 seconds
Simulation 50: lost, Time: 0.00012493133544921875 seconds
Simulation 51: won, Time: 0.0023272037506103516 seconds
Simulation 52: won, Time: 0.004373073577880859 seconds
Simulation 53: won, Time: 0.004192352294921875 seconds
Simulation 54: lost, Time: 0.0015537738800048828 seconds
Simulation 55: won, Time: 0.0016198158264160156 seconds
Simulation 56: won, Time: 0.003914833068847656 seconds
Simulation 57: won, Time: 0.0027627944946289062 seconds
Simulation 58: lost, Time: 0.0006251335144042969 seconds
Simulation 59: won, Time: 0.0022635459899902344 seconds
Simulation 60: lost, Time: 0.0020487308502197266 seconds
Simulation 61: won, Time: 0.002996206283569336 seconds
Simulation 62: lost, Time: 0.000141143798828125 seconds
Simulation 63: lost, Time: 0.00014925003051757812 seconds
Simulation 64: won, Time: 0.0039021968841552734 seconds
Simulation 65: won, Time: 0.0016334056854248047 seconds
Simulation 66: lost, Time: 0.0011401176452636719 seconds
Simulation 67: won, Time: 0.0024712085723876953 seconds
Simulation 68: won, Time: 0.0032880306243896484 seconds
Simulation 69: won, Time: 0.0030384063720703125 seconds
Simulation 70: lost, Time: 0.00016999244689941406 seconds
Simulation 71: lost, Time: 0.001531839370727539 seconds
Simulation 72: won, Time: 0.0040132999420166016 seconds
Simulation 73: lost, Time: 0.0006351470947265625 seconds
Simulation 74: lost, Time: 0.0001575946807861328 seconds
Simulation 75: won, Time: 0.0040416717529296875 seconds
Simulation 76: won, Time: 0.003383636474609375 seconds
Simulation 77: won, Time: 0.00473475456237793 seconds
Simulation 78: lost, Time: 0.0017571449279785156 seconds
Simulation 79: lost, Time: 0.0010824203491210938 seconds
Simulation 80: won, Time: 0.001889944076538086 seconds
Simulation 81: won, Time: 0.002747774124145508 seconds
Simulation 82: won, Time: 0.0020215511322021484 seconds
Simulation 83: won, Time: 0.0028831958770751953 seconds
Simulation 84: lost, Time: 0.0026416778564453125 seconds
Simulation 85: won, Time: 0.004569053649902344 seconds
Simulation 86: lost, Time: 0.0005903244018554688 seconds
Simulation 87: won, Time: 0.004502773284912109 seconds
Simulation 88: lost, Time: 0.0024106502532958984 seconds
Simulation 89: won, Time: 0.0019469261169433594 seconds
Simulation 90: lost, Time: 0.002051830291748047 seconds
Simulation 91: won, Time: 0.002193450927734375 seconds
Simulation 92: won, Time: 0.003454923629760742 seconds
Simulation 93: won, Time: 0.0032415390014648438 seconds
Simulation 94: lost, Time: 0.0009572505950927734 seconds
Simulation 95: won, Time: 0.0038084983825683594 seconds
Simulation 96: won, Time: 0.002180337905883789 seconds
Simulation 97: won, Time: 0.003626585006713867 seconds
Simulation 98: won, Time: 0.0027306079864501953 seconds
Simulation 99: won, Time: 0.003499746322631836 seconds
Simulation 100: won, Time: 0.004403114318847656 seconds
